DATE,GHI,PBCI,BY,SPNC,ZIF,NHC,NXR,HMSY,MPR,PRCP,EVST,XLA,WSTL,GAIT,JOUT,IIVI,DMCO,FNIS,IOMT,FBCI,market,t90
1/31/1997,0.02765048,-0.0125,-0.0130719,0.1641791,0.04364912,0.0286533,-0.004036036,-0.1160714,0.01851852,0.04379562,0.05084746,-0.02857143,-0.3661202,0.2,0.01886792,0.1553398,0.06451613,-0.1111111,-0.02777778,0.03411765,0.05303223,0.004517
2/28/1997,0.03664762,0.006329114,-0.05298013,-0.2435897,0.008271187,0.01949861,0.0232,-0.3535354,0.009090909,-0.09090909,-0.02419355,0.4705882,-0.2931035,0.01666667,-0.05555556,-0.1512605,0.2727273,-0.0625,0.00952381,0.1285714,-8.85E-04,0.003902
3/31/1997,-0.02918519,0,0.0979021,-0.3050847,-0.008677966,-5.46E-04,-0.04864286,-0.1875,-0.09009009,-0.1923077,-0.008264462,-0.16,0.3048781,-0.06557377,-0.04901961,-0.01980198,-0.2380952,0.2,0.5471698,-0.003164557,-0.04439856,0.004282
4/30/1997,0.037,-0.04458599,0.05095541,0,-0.008827586,-0.08033241,0.03350943,-0.1538462,0.02138614,0.07619048,-0.01666667,-0.02380952,0.2897196,-0.01754386,-0.005154639,-0.2626263,0,0.1111111,-0.02439024,-0.04355555,0.04247195,0.004844
5/30/1997,0.02661682,0.08,0.05454545,-0.07317073,0.04364912,0.07680723,0.00506422,0.02272727,0.1683168,0,-0.5254237,0.2682927,0.173913,0.01785714,0.03626943,0.06849315,-0.125,1.1,0.2,0.03333334,0.07126224,0.004837
6/30/1997,0.0307156,0.04938272,0.06896552,0.3421053,0.05064407,0.01202797,0.03258716,-0.1888889,0.02542373,-0.03982301,-0.1785714,0.1923077,0.2345679,0.0877193,0.03,0.07692308,-0.07142857,0.1904762,0,-0.04516129,0.04420104,0.004228
7/31/1997,0.0255426,-0.01785714,0.06182796,-0.2156863,0.0323252,0.1176471,0.02278571,0.3287671,0.05785124,0.2119816,-0.07608695,-0.1774193,-0.2525,0.06451613,0.1553398,0.1666667,0,0.84,-0.125,0.152973,0.0763189,0.00453
8/29/1997,-0.02336564,0.006060606,0.2253164,0.375,0.02361905,0.05513784,0.004842105,0.443299,0.01953125,-0.2015209,-0.2705882,0.01960784,0.2040134,-0.1060606,-0.07563026,0.04081633,-0.03846154,0.04347826,1.190476,0,-0.03644343,0.004337
9/30/1997,0.04407273,0.1566265,0.05371901,0.3454545,0.007875,0.1372922,0.00922807,-0.04285714,0.1264368,0.1380952,0.03225806,0.1538462,-0.01388889,-0.01694915,0.1636364,0.03921569,0.12,-0.04166667,0.02173913,0.1941177,0.05802652,0.004863
10/31/1997,-0.0934386,0.04210526,-0.09705883,-0.1351351,0.0235,-0.03375527,0.009187773,-0.2238806,-0.08843537,-0.1924686,-0.3125,-0.1666667,-0.2056338,-0.03448276,-0.03125,-0.02240566,-0.1428571,0.5217391,-0.0212766,-0.04857143,-0.0341217,0.004169
11/28/1997,0.04241951,-0.03535353,0.1237785,-0.0703125,0.007753846,0.006113538,0.03523478,-0.05769231,-0.0261194,-0.08290155,-0.1704545,0.32,-0.05673759,-0.08035714,0.08064516,-0.06875754,-0.1666667,-0.2142857,-0.07608695,-0.04935065,0.0311146,0.003986
12/31/1997,0.02686792,0.1518325,0.06086956,-0.1680672,0.02867692,-0.01754386,0.004658228,-0.03061225,0.01149425,-0.02259887,0.5342466,-0.1515152,-0.2330827,0.06796116,0.05223881,-0.005181347,0.05,0.09090909,-0.1529412,0.1202186,0.0180409,0.005112
1/30/1998,0.01711111,-0.1009174,-0.06010929,0.1919192,0.007636364,-0.04626624,0.02153586,0.2421053,-0.06060606,0.04046243,-0.03571429,0.07142857,0.009803922,-0.05454545,-0.09219858,-0.2083333,0.1428571,0.01666667,0.02777778,-0.0497561,0.004423877,0.004677
2/27/1998,0.0493578,0.09183674,0.07558139,-0.1864407,0.02278788,-0.03448276,-0.00786722,0.4661017,-0.008064516,-0.1166667,-0.1111111,0.01666667,-0.06796116,-0.07692308,0.0625,0.1447368,0,0.08196721,-0.2162162,0.01030928,0.0728278,0.003693
3/31/1998,0.007753304,0.08523364,0.1189189,0.02083333,-0.09719403,-0.03214286,0.008840336,0.1560694,0.01219512,0.009433962,-0.08333334,0,0.0625,0.04166667,-0.01470588,-0.02298851,0.6666667,-0.07575758,0.3793103,0.01020408,0.0513578,0.004878
