DATE,MAT,EMN,LEG,AAPL,UTR,HB,BNK,APA,LNCR,BMET,DBD,FAST,AF,CPWR,EC,SNV,HSY,TXT,APCC,LXK,market,t90
1/31/1997,0.01351351,-0.01131222,-0.07220217,-0.2035928,-0.05605381,0.06896552,0.03571429,0.09252669,-0.0777439,0.02479339,-0.06163022,-0.1748634,0.05762712,0.361596,0.03921569,0.01167315,-0.03142857,0.0331565,-0.01146789,-0.09954751,0.05303223,0.004517
2/28/1997,-0.12,0.009153318,0.1207782,-0.02255639,0.03752969,-0.02477419,0.08810345,-0.1563518,0.1404959,-0.01612903,0.07097457,-0.0392053,0.1053846,-0.08791209,0.1132075,0.07307693,0.08141593,0.01283697,-0.225058,0.120603,-8.85E-04,0.003902
3/31/1997,-0.02787879,-0.01696145,-0.09407666,0.1230769,-0.0787037,0.05980067,-0.01992032,0.0369112,-0.04347826,0.1065574,-0.1038576,-0.03448276,-0.1627907,0.008032128,-0.04677966,-0.1502509,0.09589041,0.06970849,0.03592815,-0.1300448,-0.04439856,0.004282
4/30/1997,0.1614583,-0.05116279,0.07692308,-0.06849315,0.01507538,0.08250783,0.02617886,0.01492537,-0.04848485,-0.1,-0.10299,0.1142857,0.08680555,0.2031873,0,0.2330509,0.085,0.06071429,-0.1098266,-0.04123711,0.04247195,0.004844
5/30/1997,0.07174888,0.1666667,0.08228572,-0.02205882,0.09603961,0.09593023,0.05577689,0.007352941,-0.006369427,0.2304527,0.1185185,0.198718,0.05814696,0.2284768,0.0297619,0.06185567,0.03824885,0.06397306,0.2077922,0.1344086,0.07126224,0.004837
6/30/1997,0.1362343,0.07462185,0.1390729,-0.1428571,0.1141552,0.00795756,0.1433962,-0.04905109,0.1025641,-0.003344482,0.03654485,0.04812834,0.1515152,0.02964959,-0.02763006,0.0738835,-0.01447662,0.1244726,-0.1827957,0.1516588,0.04420104,0.004228
7/31/1997,0.02583026,-0.04724409,0.05523256,0.2280702,0.0102459,-0.03073684,0.05782178,0.08461539,0.1395349,0.07637584,0.2884615,0.1415816,0.01578947,0.2958115,0.02686567,0.02267574,-0.001129944,0.05555556,0.3092105,0.07201646,0.0763189,0.00453
8/29/1997,-0.03776978,-0.01136364,-0.0492562,0.2428571,-0.01663286,-0.04223433,-0.06583072,0.1258865,-0.02678571,0.04075235,-0.07462686,0.0301676,5.18E-04,-0.002020202,-0.02906977,-0.07095344,-0.02995475,-0.1106155,0.05527638,0.0671785,-0.03644343,0.004337
9/30/1997,-0.007252336,0.04392894,0.03633721,-0.002873563,0.08333334,0.02560455,0.135906,0.08207874,0.0576671,0.1566265,0.02156334,-0.07592191,0.04545455,-0.02024291,0.03772455,-0.1469212,0.05854801,0.04714143,0.07142857,-0.05035971,0.05802652,0.004863
10/31/1997,0.1735849,-0.03830645,-0.06311361,-0.2146974,-0.01538462,-0.04765603,-0.06446086,-0.02040816,0.06319702,0.0390625,-0.06992085,-0.07981221,0.03850932,0.09297521,-0.1942029,-0.02247191,-0.02212389,-0.1105769,-0.03111111,-0.07386363,-0.0341217,0.004169
11/28/1997,0.03054662,0.01257862,0.03329341,0.04220184,-0.021875,0.04239766,0.08253969,-0.125,0.04895105,-0.04260652,0.05106383,0.08163265,0.05789474,0.05671078,0.02517986,0.4683908,0.1148416,0.0227027,0.1146789,0.04294479,0.0311146,0.003986
12/31/1997,-0.06845554,-0.006169772,-0.02616279,-0.2605634,0.04233871,0.1486676,0.07917888,-0.0440136,0.01333333,0.07329843,0.09607578,-0.2783019,0.01133787,-0.08407871,-0.01894737,0.02825832,0.009164969,0.06131078,-0.2222222,0.1921569,0.0180409,0.005112
1/30/1998,0.08724833,0,0.07910448,0.3952381,-0.03481625,0.001221001,-0.06521739,-0.05525847,0.07236842,0.1170732,-0.01728395,0.1486928,-0.07847533,0.21875,-0.04676259,0.005725191,0.02825429,-0.043,0.1084656,0.02796053,0.004423877,0.004677
2/27/1998,0.04475309,0.09968521,0.1139696,0.2901024,0.1186373,0.09985366,0.08796512,0.02641509,0.06186094,0.04148472,0.03266332,-9.67E-04,0.09148418,0.08012821,0.09433962,0.07020873,0.05055937,0.2528736,0.1073986,0.0944,0.0728278,0.003693
3/31/1998,-0.06333826,0.03629771,0.0249066,0.1640212,-0.02531646,0.09566185,0.03624161,0.08294117,0.08810785,0.006289308,-0.1408273,-0.01139601,0.106264,0.1721068,0.0537931,0.05631206,0.07403936,0.0313261,-0.01077586,0.05555556,0.0513578,0.004878
4/30/1998,-0.03159558,0.01946246,0.009720535,-0.004545454,0.03153989,0.01612183,0,-0.03741496,0.1486726,0,-0.06818182,0.2896253,-0.05156724,-0.01012658,0.1118421,-0.05218855,0.02268761,0.01623377,0.1220044,0.2867036,0.01093492,0.004626
5/29/1998,-0.01141925,-0.02545455,-0.02941035,-0.02739726,0.01294964,-0.01002004,-0.06507772,-0.0335689,-0.07550077,-0.0375,-0.2831707,-0.1150838,-0.05788913,-0.0601023,-0.0147929,-0.04351687,-0.05331058,-0.05191693,-0.06796116,-0.04413348,-0.02544966,0.004217
6/30/1998,0.1192739,-0.06432836,-0.004975124,0.07746479,-0.003584229,-0.02834008,0.05,-0.07656307,0.1216667,0.1450216,-0.01282051,-0.06186869,-0.0278251,0.1129252,-0.02222222,0.0617493,-0.001808318,-0.02985678,0,0.0990991,0.03270055,0.004381
7/31/1998,-0.0915805,-0.08835341,0.0725,0.2069717,-0.06115108,-0.06470833,-0.04232804,-0.1587302,-0.05497771,-0.05119093,-0.1255411,-0.05989233,-0.06308411,0.05256724,0.0308642,-0.06315789,-0.08514493,0.03051439,0.075,0.09118853,-0.02309545,0.004372
8/31/1998,-0.1577236,-0.09140969,-0.2487646,-0.09927798,-0.1260536,-0.0424581,-0.3017679,-0.1367925,-0.1462264,-0.14,-0.1281188,-0.3314245,-0.2778055,-0.155633,-0.1197605,-0.1825843,0.1127129,-0.1505922,-0.1627907,-0.09014084,-0.1568507,0.00451
9/30/1998,-0.1326641,-0.01328485,0.03426791,0.2224449,0.1385809,-0.08518086,0.1434263,0.1751913,0.1418048,0.2906977,0.005714286,-0.1434689,0.1701389,0.2957359,-0.03197279,0.08994089,-0.02232143,-0.02932271,0.3958333,0.1444788,0.0641446,0.005102
10/30/1998,0.2857143,0.1648079,0.126506,-0.02622951,0.1080818,0.2115816,0.003484321,0.05594406,0.03064516,-0.02162162,0.4204545,0.445,0.02077151,-0.07961784,0.1872791,0.1740506,-0.00913242,0.2268041,0.1260365,0.009017132,0.07438684,0.003809
11/30/1998,-0.03819444,-0.01382979,-0.02598931,-0.1397306,0.003866432,-0.04012671,0.145,-0.187638,-0.1361502,0.1270718,0.10448,0.1418685,0.05116279,0.1487889,-0.08035714,-0.04851752,-0.004755761,0.04453782,-0.02503682,0.09204647,0.06180307,0.003565
12/31/1998,-0.3189892,-0.2200216,-0.03030303,0.2818004,0.01413428,0.00110011,-0.02439024,0.103587,0.1757246,0.05228758,0.03818182,0.06666667,0.01666667,0.2550201,0.01488673,0.09114107,-0.07527881,-0.0188576,0.1706949,0.3158756,0.06330975,0.003951
1/29/1999,-0.03457447,-0.09217877,-0.06818182,0.00610687,-0.05662021,-0.1736264,-0.1,-0.2395062,-0.137134,-0.09006211,-0.04728546,-0.1235795,0,-0.152,0.003205128,0.03645833,-0.09547739,-0.01975309,0.05548387,0.1287313,0.03828891,0.003572
2/26/1999,0.1625344,0.1615385,0.02573171,-0.15478,-0.02382272,-0.1048936,-0.04916667,0.03571429,0.01785714,0.001706485,-0.1371323,-0.01354943,-0.00431694,-0.1556604,-0.08945687,-0.04271357,0.1109333,0.04785894,-0.2982885,-0.09035812,-0.03787031,0.003042
3/31/1999,-0.0514692,-0.09928477,-0.04477612,0.03231598,-0.04397706,0.1029851,0.05882353,0.310721,-0.2105263,0.1431005,-0.1777302,-0.07730263,0.1034483,-0.1463687,-0.04350877,-0.1353281,-0.09939759,-0.003846154,-0.2473868,0.0841914,0.03799771,0.004331
4/30/1999,0.03759398,0.3239227,0.153125,0.28,0.108,0.02046008,0.07638889,0.177458,0.05333333,-0.02235469,0.002604167,0.3618538,0.0025,0.02094241,0.1328413,0.07926829,-0.0613155,0.19063,0.2222222,0.1039106,0.04883058,0.003557
5/28/1999,0.02173913,-0.09090909,0.1475339,-0.04211957,0.02093863,-0.10253,-0.02632258,0.1731161,-0.1687764,-0.02591463,0.1750649,0.07329843,-0.09745636,0.274359,0.05537459,-0.09039548,0.03543943,-0.03324288,0.1799242,0.1022267,-0.02083547,0.003504
6/30/1999,-0.008416075,0.03091358,0.05450237,0.05106383,0.1714286,0.02670623,0.003333333,0.08527778,0.01522843,-0.004694836,0.02222222,0.02317073,-0.02361111,0.02414487,0.1222222,-0.007950311,0.09447005,-0.07214035,0.03370786,-0.03764922,0.05088444,0.004475
7/30/1999,-0.09569378,-0.001207729,-0.07865169,0.2024291,-0.04420732,0.04352601,-0.03986711,0.08814102,0.2,-0.08138365,-0.0173913,0.1275328,-0.1337127,-0.1277014,-0.01381215,-0.07861635,-0.02315789,-7.59E-04,0.0310559,-0.03816794,-0.03063557,0.004142
8/31/1999,-0.0952381,-0.1015719,-0.1330732,0.1717172,-0.07400319,-0.3657858,-0.06256055,0.07216495,-0.1208333,-0.01718213,-0.05221239,-0.1522199,-0.1299836,0.08783784,-0.1064426,0.02730375,-0.07202587,-0.01823708,-0.1536145,0.25,-0.01008946,0.00417
9/30/1999,-0.1069006,-0.1318439,-0.1101695,-0.02969349,-0.03304348,-0.0745614,-0.01115242,-0.04928571,0.01066351,-0.263986,-0.1314554,-0.05985037,-0.06463879,-0.136646,-0.07962383,-0.001860465,-0.09101517,-0.0377709,0.08185054,0.02222222,-0.02285367,0.004565
10/29/1999,-0.2960526,-0.03291536,0.1269841,0.2655479,0.07733813,0.2633175,0.1428571,-0.09696092,0.05509965,0.1448931,0.1351351,-0.2307692,0.1707317,0.06714629,-0.03424658,0.1471572,0.03722721,-0.002423263,0.180921,-0.02484472,0.06223235,0.00394
11/30/1999,0.07009346,0.008103727,-0.02974648,0.2215289,0.006010016,0.03207547,-0.1022368,-0.08173077,0.008888889,0.05186722,-0.1204762,0.06206897,-0.1174653,0.2157303,-0.04609929,-0.0670554,-0.02207921,-0.07368421,0.06128134,0.05732484,0.03595485,0.004302
12/31/1999,-0.07668122,0.2380064,0,0.050447,0.00837521,-0.07312614,-0.1107011,0.03336824,0.222467,0.2623274,0.02452316,0.1672078,-0.03468781,0.1016636,0.1286245,-0.00175,-0.03435114,0.0770979,0.1076116,0.09036145,0.08294688,0.004551
1/31/2000,-0.2047619,-0.163827,-0.1603499,0.009118541,-0.04318937,0.0729783,-0.02489627,-0.01184433,0.02162162,-0.0046875,-0.05585106,-0.02642559,-0.04312115,-0.431208,-0.1556291,-0.04402516,-0.1040843,-0.2216789,0.04620853,0.04143646,-0.04035191,0.004339
