"","V1","tic","name","Class","Sector"
"24",170401,"AMAT","APPLIED MATERIALS INC","LargeCap","InformationTechnology"
"159",725701,"MRK","MERCK & CO","LargeCap","HealthCare"
"157",715401,"MCD","MCDONALD'S CORP","LargeCap","ConsumerDiscretionary"
"158",724101,"CVS","CVS HEALTH CORP","LargeCap","ConsumerStaples"
"213",946501,"SLB","SCHLUMBERGER LTD","LargeCap","Energy"
"263",1214201,"ORCL","ORACLE CORP","LargeCap","InformationTechnology"
"3",107801,"ABT","ABBOTT LABORATORIES","LargeCap","HealthCare"
"53",275101,"CAH","CARDINAL HEALTH INC","LargeCap","HealthCare"
"280",1349801,"CCL","CARNIVAL CORP/PLC (USA)","LargeCap","ConsumerDiscretionary"
"112",543901,"HAL","HALLIBURTON CO","LargeCap","Energy"
"261",1192301,"APC","ANADARKO PETROLEUM CORP","LargeCap","Energy"
"120",560601,"HPQ","HEWLETT-PACKARD CO","LargeCap","InformationTechnology"
"58",296801,"JPM","JPMORGAN CHASE & CO","LargeCap","Financials"
"198",854301,"MO","ALTRIA GROUP INC","LargeCap","ConsumerStaples"
"224",989901,"T","AT&T INC","LargeCap","Telecommunications"
"175",792301,"NSC","NORFOLK SOUTHERN CORP","LargeCap","Industrials"
"54",281701,"CAT","CATERPILLAR INC","LargeCap","Industrials"
"250",1125901,"WMT","WAL-MART STORES INC","LargeCap","ConsumerStaples"
"37",213601,"VZ","VERIZON COMMUNICATIONS INC","LargeCap","Telecommunications"
"44",240301,"BMY","BRISTOL-MYERS SQUIBB CO","LargeCap","HealthCare"
"262",1205301,"EMC","EMC CORP/MA","LargeCap","InformationTechnology"
"222",985001,"SO","SOUTHERN CO","LargeCap","Utilities"
"297",1647801,"EOG","EOG RESOURCES INC","LargeCap","Energy"
"6",120901,"APD","AIR PRODUCTS & CHEMICALS INC","LargeCap","Materials"
"197",853901,"EXC","EXELON CORP","LargeCap","Utilities"
